timestamp,equity,gross_equity
2018-10-05T00:00:00+00:00,253172.2420181968728000000000,261067.1257224474000000000000
2018-10-06T00:00:00+00:00,253639.9175451598728000000000,261534.8012494104000000000000
2018-10-07T00:00:00+00:00,253437.7121531590468000000000,261435.2515171103000000000000
2018-10-08T00:00:00+00:00,252772.9074777405276000000000,260910.5149456009000000000000
2018-10-09T00:00:00+00:00,253041.2244070524276000000000,261178.8318749128000000000000
2018-10-10T00:00:00+00:00,253724.4199749686276000000000,261862.0274428290000000000000
2018-10-11T00:00:00+00:00,259501.9704084453276000000000,267639.5778763057000000000000
2018-10-12T00:00:00+00:00,258745.9834591327276000000000,266883.5909269931000000000000
2018-10-13T00:00:00+00:00,258452.9626134609276000000000,266590.5700813213000000000000
2018-10-14T00:00:00+00:00,258979.4658695828276000000000,267117.0733374432000000000000
2018-10-15T00:00:00+00:00,256424.5666901924072000000000,264587.0241187752000000000000
2018-10-16T00:00:00+00:00,256210.6401194422580000000000,264394.5544233246000000000000
2018-10-17T00:00:00+00:00,256491.6200896924580000000000,264675.5343935748000000000000
2018-10-18T00:00:00+00:00,257170.3080793779580000000000,265354.2223832603000000000000
2018-10-19T00:00:00+00:00,257186.3490081607580000000000,265370.2633120431000000000000
2018-10-20T00:00:00+00:00,256742.8385912432580000000000,264926.7528951256000000000000
2018-10-21T00:00:00+00:00,256777.8223692263580000000000,264961.7366731087000000000000
2018-10-22T00:00:00+00:00,256908.7022323388580000000000,265092.6165362212000000000000
2018-10-23T00:00:00+00:00,257007.0043927179580000000000,265190.9186966003000000000000
2018-10-24T00:00:00+00:00,256799.4321203945572000000000,265055.3148837315000000000000
2018-10-25T00:00:00+00:00,257097.2911642724572000000000,265353.1739276094000000000000
2018-10-26T00:00:00+00:00,256895.9785104204572000000000,265151.8612737574000000000000
2018-10-27T00:00:00+00:00,256772.2707962461572000000000,265028.1535595831000000000000
2018-10-28T00:00:00+00:00,256711.5367166090572000000000,264967.4194799460000000000000
2018-10-29T00:00:00+00:00,258853.3476517596572000000000,267109.2304150966000000000000
2018-10-30T00:00:00+00:00,258721.2898804739572000000000,266977.1726438109000000000000
2018-10-31T00:00:00+00:00,258215.3675912134572000000000,266471.2503545504000000000000
2018-11-01T00:00:00+00:00,257670.9813123015092000000000,265960.2005575405000000000000
2018-11-02T00:00:00+00:00,257341.3122098204092000000000,265630.5314550594000000000000
2018-11-03T00:00:00+00:00,257717.4707858944092000000000,266006.6900311334000000000000
2018-11-04T00:00:00+00:00,255086.0985491965092000000000,263375.3177944355000000000000
2018-11-05T00:00:00+00:00,255495.2600501202092000000000,263784.4792953592000000000000
2018-11-06T00:00:00+00:00,253527.2986327544092000000000,261816.5178779934000000000000
2018-11-07T00:00:00+00:00,253322.7274059183092000000000,261611.9466511573000000000000
2018-11-08T00:00:00+00:00,253779.2402400792292000000000,262291.3117436555000000000000
2018-11-09T00:00:00+00:00,254439.0263446100060000000000,263101.8950854326000000000000
2018-11-10T00:00:00+00:00,254213.2034335556060000000000,262876.0721743782000000000000
2018-11-11T00:00:00+00:00,254130.6785377995060000000000,262793.5472786221000000000000
2018-11-12T00:00:00+00:00,254181.8890365165372000000000,262978.2737149138000000000000
2018-11-13T00:00:00+00:00,254866.3900810780236000000000,263778.7327448659000000000000
2018-11-14T00:00:00+00:00,266059.6996059762596000000000,275108.0125726810000000000000
2018-11-15T00:00:00+00:00,266001.0067224856392000000000,275093.6895395430000000000000
2018-11-16T00:00:00+00:00,268298.0611876056392000000000,277390.7440046630000000000000
2018-11-17T00:00:00+00:00,268356.6164089506392000000000,277449.2992260080000000000000
2018-11-18T00:00:00+00:00,266951.5261895096392000000000,276044.2090065670000000000000
2018-11-19T00:00:00+00:00,282911.2587081236392000000000,292003.9415251810000000000000
2018-11-20T00:00:00+00:00,291182.2147865286392000000000,300274.8976035860000000000000
2018-11-21T00:00:00+00:00,287421.3537936526392000000000,296514.0366107100000000000000
2018-11-22T00:00:00+00:00,293098.7337518696392000000000,302191.4165689270000000000000
2018-11-23T00:00:00+00:00,293365.7546084416392000000000,302458.4374254990000000000000
2018-11-24T00:00:00+00:00,301293.4246887766392000000000,310386.1075058340000000000000
2018-11-25T00:00:00+00:00,298635.2978694106392000000000,307727.9806864680000000000000
2018-11-26T00:00:00+00:00,302533.9306039216392000000000,311626.6134209790000000000000
2018-11-27T00:00:00+00:00,301658.0808711776392000000000,310750.7636882350000000000000
2018-11-28T00:00:00+00:00,293831.0156065326392000000000,302923.6984235900000000000000
2018-11-29T00:00:00+00:00,295008.6040265099884000000000,304154.6992433953000000000000
2018-11-30T00:00:00+00:00,298062.1334592219884000000000,307208.2286761073000000000000
2018-12-01T00:00:00+00:00,295628.0670351568884000000000,304774.1622520422000000000000
2018-12-02T00:00:00+00:00,296409.8705750030884000000000,305555.9657918884000000000000
2018-12-03T00:00:00+00:00,300152.2396477842884000000000,309298.3348646696000000000000
2018-12-04T00:00:00+00:00,299331.9723259715884000000000,308478.0675428569000000000000
2018-12-05T00:00:00+00:00,302720.7689412510884000000000,311866.8641581364000000000000
2018-12-06T00:00:00+00:00,308116.7632681310996000000000,317303.8540813441000000000000
2018-12-07T00:00:00+00:00,307460.0095844324180000000000,316678.8866744410000000000000
2018-12-08T00:00:00+00:00,308091.3477748009180000000000,317310.2248648095000000000000
2018-12-09T00:00:00+00:00,305885.0624905287180000000000,315103.9395805373000000000000
2018-12-10T00:00:00+00:00,308260.6597241370180000000000,317479.5368141456000000000000
2018-12-11T00:00:00+00:00,309617.2385920563180000000000,318836.1156820649000000000000
2018-12-12T00:00:00+00:00,308114.1376966593180000000000,317333.0147866679000000000000
2018-12-13T00:00:00+00:00,310977.6460891753180000000000,320196.5231791839000000000000
2018-12-14T00:00:00+00:00,312613.1917091543180000000000,321871.4995215167000000000000
2018-12-15T00:00:00+00:00,312729.5905879000380000000000,322019.5670068169000000000000
2018-12-16T00:00:00+00:00,312310.5370483380324000000000,321636.9737105807000000000000
2018-12-17T00:00:00+00:00,304108.2882624753556000000000,313470.6580603763000000000000
2018-12-18T00:00:00+00:00,299685.5761097031308000000000,309095.0511062931000000000000
2018-12-19T00:00:00+00:00,300007.5161707047668000000000,309464.7626729175000000000000
2018-12-20T00:00:00+00:00,291657.0537227815668000000000,301114.3002249943000000000000
2018-12-21T00:00:00+00:00,293535.4017153160196000000000,303147.5405124049000000000000
2018-12-22T00:00:00+00:00,291503.0443563894972000000000,301138.8858594264000000000000
2018-12-23T00:00:00+00:00,289422.3053352506684000000000,299074.6958360622000000000000
2018-12-24T00:00:00+00:00,287255.2176805364684000000000,296907.6081813480000000000000
2018-12-25T00:00:00+00:00,289472.5896437599120000000000,299182.7849955212000000000000
2018-12-26T00:00:00+00:00,289176.0576212011120000000000,298886.2529729624000000000000
2018-12-27T00:00:00+00:00,291600.6102234109120000000000,301310.8055751722000000000000
2018-12-28T00:00:00+00:00,288267.3015647723120000000000,297977.4969165336000000000000
2018-12-29T00:00:00+00:00,289378.5439096104992000000000,299099.9118645016000000000000
2018-12-30T00:00:00+00:00,288682.9732308905696000000000,298429.3362302948000000000000
2018-12-31T00:00:00+00:00,289893.0261370090896000000000,299664.9127913928000000000000
2019-01-01T00:00:00+00:00,288632.1258873030896000000000,298404.0125416868000000000000
